Restaurant Name,Address,Failed inspection on,Alive for x years
MRS FIELDS,32 E RANDOLPH ST ,09/12/2014,2
MRS. FIELDS COOKIES,242 S STATE ST ,08/06/2012,1
MUCHIN COLLEGE PREP,1 N STATE ST FL ,05/20/2015,3
MY THAI,333 S STATE ST ,11/06/2014,2
NANDO'S PERI PERI,949-953 W RANDOLPH ST ,01/08/2016,1
NARA,1132 S WABASH ,08/06/2015,2
NATIVE FOODS CLARK STREET LLC,218 S CLARK ST ,04/25/2017,1
NEPAL HOUSE,1301 S Michigan AVE ,02/06/2014,2
NESH MEDITERRANEAN GRILL,205 W MONROE ST ,12/15/2014,2
NEWS STAND,127 N DEARBORN ST ,11/05/2010,3
NEXT RESTAURANT/AVIARY,953-955 W FULTON MARKET ,09/03/2014,3
NICHOLAS QUALITY MEATS,908 W RANDOLPH ST ,03/10/2015,1
NIU B,888 S MICHIGAN AVE ,02/25/2014,4
NORTHERN TRUST BANK II,801 S CANAL ST ,01/27/2010,3
NORTHSTAR COFFEE,1300 S CLINTON ST ,01/21/2015,2
OLD FIFTH,1027 W MADISON ST ,08/14/2014,1
PALMER HOUSE HILTON,17 E MONROE ST ,12/11/2015,1
PANDA EXPRESS,515 S STATE ST ,07/28/2016,2
"PANDA EXPRESS, INC",130 E RANDOLPH ST ,09/24/2015,3
"PANDA EXPRESS, INC #1102",29 E MADISON ST ,09/20/2016,2
PANERA BREAD #1004,525 S STATE ST ,06/09/2016,1
PANOZZO'S ITALIAN SPECIALTIES,1303 S MICHIGAN AVE ,02/08/2010,2
PASHA,802-804 W RANDOLPH ST ,06/11/2010,2
PAULYS PIZZARIA,719 S STATE ST ,08/09/2013,3
PEARL,180 N WACKER DR ,06/17/2016,1
PEET'S,20 N MICHIGAN AVE ,08/28/2015,1
PEET'S COFFEE & TEA,1328 S HALSTED ST ,12/03/2015,1
PERRY'S DELI,174 N FRANKLIN ST ,07/18/2014,1
PETTERINO'S BANQUET/  DO RITE DONUTS,50 W RANDOLPH ST ,06/14/2016,1
PIEROGI HEAVEN,169 N WELLS ST ,03/17/2016,1
PINK MONKEY / NEW YORK STRIP,750 S CLINTON ST ,10/30/2017,1
PITA HEAVEN,1250 S MICHIGAN AVE ,08/15/2016,2
PITABELLY,606 S WABASH AVE ,11/04/2013,1
PIZANO,61 E MADISON ST ,01/25/2012,2
PLAY 18,17 N WABASH AVE ,03/31/2011,6
PLYMOUTH RESTAURANT,327 S PLYMOUTH CT ,07/21/2017,1
PORKCHOP,555 S DEARBORN ST ,04/22/2014,2
PORTILLO'S HOT DOGS,520 W TAYLOR ST ,11/20/2017,1
POTBELLY,111 E WACKER DR ,01/11/2011,6
POTBELLY SANDWICH WORKS # 100,209 S LA SALLE ST ,07/22/2016,1
POTTER'S,17 E MONROE ST ,08/05/2014,2
PUBLICAN QUALITY MEATS,825 W FULTON MARKET ,01/19/2017,1
QDOBA,100 N LA SALLE ST ,10/27/2016,2
QDOBA MEXICAN GRILL,58 E RANDOLPH ST ,01/25/2017,1
RAINFOREST LEARNING SCHOOL,1325 S STATE ST ,06/25/2014,3
RANDOLPH TAVERN,188 W RANDOLPH ST ,10/14/2015,1
RED MANGO,151 E Randolph ST ,03/11/2015,2
RESIDENCE INN CHICAGO DOWNTOWN,11 S LA SALLE ST ,08/18/2015,2
ROANOKE,135 W MADISON ST ,09/13/2016,1
ROISTER,951 W FULTON MARKET ,10/12/2017,1
RONNY'S ORIGINAL STEAK HOUSE,100 W RANDOLPH ST ,07/07/2011,5
ROOF,201 N STATE ST ,11/06/2012,4
ROOSEVELT UNIVERSITY DINING SERVICES,425 S WABASH AVE ,08/03/2016,2
ROSEBUD IN & OUT,1 S DEARBORN ST ,12/23/2016,1
ROSEBUD PRIME,1 S DEARBORN ST ,06/15/2015,3
RUBY OF SIAM,170 W WASHINGTON ST ,08/30/2012,2
RUSTLE & ROUX,227 W MONROE ST ,06/23/2015,3
SALATINO'S,624-626 S RACINE AVE ,11/18/2010,2
SALVATION ARMY TEMPLE HEAD START,1 N OGDEN AVE ,10/26/2017,1
